NEWID,TAX_UNIT,AGE_TP,AGE_SP,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND13,DEPU_D13,DEPUND17,DEPU_D17,DEPUND18,DEPU_D18,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC
05235684,1,40,40,2023,2022,0,.00000,.00000,2,.22000,.22000,22,D,.04300,.04300,112000,D,82000,D,0,D,0,D,0,D,0,D,31800,D,0,D,94,D,0,D,0,D,0,D,0,D,0,D,27180,7477,27444,27048,7509,7461,27444,27048,14841,14841,31800,31800,0,0,0,0,0,0,0,0,0,0,190490,190490,164590,162790,0,0,8800,8800,0,0,170690,158095,0,0,0,0,0
05235714,1,77,78,2023,2022,2,.00000,.00000,2,.00000,.00000,44,D,.00000,.00000,0,D,0,D,0,D,0,D,22957,D,0,D,0,D,1600,D,350,D,0,D,0,D,0,D,0,D,3600,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05235724,1,27,0,2023,2022,0,.00000,.00000,1,.20710,.20710,33,D,.05850,.05850,92000,D,0,D,0,D,0,D,0,D,0,D,0,D,4300,D,500,D,0,D,0,D,0,D,0,D,20984,D,8239,3327,8237,8240,3337,3322,8237,8240,7038,7038,0,0,0,0,0,0,0,0,0,0,0,0,65501,65501,57364,57379,0,0,0,0,8000,8000,60701,56688,0,0,0,0,0
05235724,2,27,0,2023,2022,0,.00000,.00000,1,.22000,.22000,33,D,.05850,.05850,90000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,9983,3899,10115,9917,3931,3883,10115,9917,6885,6885,0,0,0,0,0,0,0,0,0,0,0,0,78850,78850,65900,65000,0,0,0,0,8000,8000,70850,65637,0,0,0,0,0
05235774,1,35,0,2023,2022,0,.00000,.00000,1,.12000,.12000,22,D,.04300,.04300,28169,D,0,D,0,D,0,D,0,D,0,D,17616,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1549,788,1621,1513,807,778,1621,1513,2155,2155,17616,17616,0,0,0,0,0,0,0,0,0,0,28169,28169,15219,14319,0,0,4400,4400,0,0,16769,14907,0,0,0,0,0
05235794,1,39,39,2023,2022,3,.00000,.00000,2,.12000,.12000,41,D,.00000,.00000,64000,D,0,D,0,D,0,D,0,D,0,D,0,D,1000,D,0,D,0,D,2,D,3,D,3,D,2240,D,-2290,0,-2146,-2362,0,0,3854,3638,4896,4896,0,0,0,0,3854,3638,2146,2362,0,0,0,0,61440,61440,35540,33740,0,0,13290,13290,0,0,17820,13789,0,0,0,0,0
05235824,1,58,0,2023,2022,4,.00000,.00000,1,-.4000,-.4000,11,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3200,D,0,D,0,D,2,D,2,D,2,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14700,14700,5400,5400,0,0,0,0,0,0,0
05235844,1,30,0,2023,2022,3,.00000,.00000,1,.12000,.12000,33,D,.05250,.05850,36950,D,0,D,0,D,0,D,0,D,0,D,21212,D,0,D,1242,D,0,D,0,D,0,D,0,D,0,D,201,957,313,145,1009,931,1813,1645,2827,2827,21212,21212,0,0,1500,1500,0,0,0,0,0,0,36950,36950,17550,16150,0,0,3000,3000,11200,11200,22750,20307,0,0,0,0,0
05235844,3,59,0,2023,2022,0,.00000,.00000,1,.12000,.12000,33,D,.05850,.05850,32954,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2123,1214,2195,2087,1246,1198,2195,2087,2521,2521,0,0,0,0,0,0,0,0,0,0,0,0,32954,32954,20004,19104,0,0,0,0,8000,8000,24954,22775,0,0,0,0,0
05235854,1,22,0,2023,2022,0,.00000,.00000,1,.12000,.12000,34,D,.04990,.04990,30000,D,0,D,0,D,0,D,0,D,0,D,21000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1769,831,1841,1733,861,816,1841,1733,2295,2295,21000,21000,0,0,0,0,0,0,0,0,0,0,30000,30000,17050,16150,0,0,0,0,12750,12750,17250,15267,0,0,0,0,0
05235854,2,24,0,2023,2022,0,.00000,.00000,1,.12000,.12000,34,D,.04990,.04990,46000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3689,1629,3761,3653,1659,1614,3761,3653,3519,3519,0,0,0,0,0,0,0,0,0,0,0,0,46000,46000,33050,32150,0,0,0,0,12750,12750,33250,30209,0,0,0,0,0
05235884,1,49,0,2023,2022,0,.00000,.00000,1,-.0765,-.0765,05,D,-.0647,-.0647,0,D,0,D,0,D,0,D,14400,D,0,D,22200,D,0,D,40,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,22200,22200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5202,5202,0,0,0,0,0,0,0
05235914,1,54,0,2023,2022,0,.00000,.00000,1,.24000,.24000,29,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,22713,D,176,D,0,D,0,D,0,D,0,D,0,D,15958,0,16102,15886,0,0,16102,15886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105726,105726,92776,91876,0,0,0,0,0,0,0,0,0,0,0,0,0
05235924,1,67,0,2023,2022,0,.00000,.00000,1,.00000,.00000,47,D,.00000,.00000,9778,D,0,D,0,D,0,D,0,D,0,D,0,D,4000,D,45,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,748,748,0,0,0,0,0,0,0,0,0,0,0,0,9778,9778,0,0,0,0,1730,1730,8000,8000,0,0,0,0,0,0,0
05235934,1,64,0,2023,2022,0,.00000,.00000,1,.17650,.17650,33,D,.08540,.08540,16346,D,0,D,0,D,0,D,14124,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,210,228,329,150,281,202,340,250,1250,1250,0,0,0,0,0,0,0,0,0,0,10,100,16346,16346,3396,2496,0,0,0,0,8000,8000,8346,7265,0,0,0,0,0
05235964,1,73,0,2023,2022,0,.00000,.00000,1,.00000,.00000,24,D,.00000,.00000,0,D,0,D,0,D,776,D,26063,D,0,D,0,D,6500,D,139,D,0,D,0,D,0,D,0,D,240,D,0,-3284,0,0,-3136,-3358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10776,10776,0,0,0,0,0,0,20625,20646,0,0,3136,3136,0,0,0
05235994,1,35,27,2023,2022,4,.00000,.00000,2,-.5500,-.5500,43,D,.00000,.00000,1500,D,1267,D,0,D,0,D,0,D,0,D,0,D,1500,D,0,D,0,D,2,D,2,D,2,D,4148,D,-1147,0,-1147,-1147,0,0,0,0,212,212,0,0,0,0,0,0,40,40,0,0,1107,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05236024,1,50,0,2023,2022,0,.00000,.00000,1,.35000,.35000,05,D,.09300,.09300,292471,D,0,D,0,D,0,D,0,D,0,D,0,D,8000,D,0,D,0,D,0,D,0,D,0,D,7248,D,70081,23269,70081,70081,23468,23169,70081,70081,13355,13764,0,0,0,0,0,0,0,0,0,0,0,0,285223,285223,275223,275223,0,0,0,0,5202,5202,287269,267932,0,0,0,0,0
