ALCNO,FSA,FSA_,HHIANYPD,HHIA_YPD,HHIBCBS,HHIBCBS_,HHICOVQ,HHICOVQ_,HHIGROUP,HHIG_OUP,HHIIRGXB,HHII_GXB,HHILSTTM,HHIL_TTM,HHIPDLIB,HHIPRDED,HHIPROUT,HHIPRYOU,HHIP_DED,HHIP_LIB,HHIP_OUT,HHIP_YOU,HHIRPMPD,HHIRPMXB,HHIR_MPD,HHIR_MXB,HHISTILL,HHISUBPD,HHIS_BPD,HHIS_ILL,HSAHRA,HSAHRA_,MEDIGAP,MEDIGAP_,NEWID,PLNMGD,PLNMGD_,PORTAL,PORTAL_,PORTPLAN,PORT_LAN,PREMSUBS,PREM_UBS,QHHP3MX,QHHP3MX_,RECTYPE,REC_ORIG,REC_STAT,SEQNO,SSTYPE,SSTYPE_,QYEAR
0,,A,1,D,,A,2,D,2,D,,A,1,D,1,1,,1,D,D,A,D,02,30,D,D,1,,A,D,,A,,A,05285954,,A,,A,,A,,A,195,D,HHP,5,1,4,1,D,20234
0,,A,1,D,,A,2,D,2,D,,A,1,D,2,1,,1,D,D,A,D,02,30,D,D,1,,A,D,,A,,A,05285954,,A,,A,,A,,A,195,D,HHP,5,1,5,4,D,20234
0,2,D,1,D,,A,3,D,2,D,,A,1,D,3,1,,1,D,D,A,D,02,180,D,D,1,,A,D,2,D,,A,05285954,2,D,,A,,A,,A,1170,D,HHP,5,1,6,,A,20234
0,2,D,1,D,1,D,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,01,28,D,D,1,,A,D,,A,,A,05286014,1,D,,A,,A,,A,364,D,HHP,5,1,6,,A,20234
0,2,D,,A,,A,2,D,1,D,,A,,A,1,,2,2,A,D,D,D,,,A,A,1,1,D,D,,A,,A,05286024,1,D,1,D,,C,1,D,,A,HHP,5,1,8,,A,20234
0,,A,1,D,1,D,3,D,2,D,,A,1,D,1,1,,1,D,D,A,D,04,28,D,D,1,,A,D,,A,,A,05286044,,A,,A,,A,,A,84,D,HHP,5,1,9,1,D,20234
0,1,D,1,D,1,D,3,D,2,D,,A,1,D,2,1,,1,D,D,A,D,04,140,D,D,1,,A,D,1,D,,A,05286044,2,D,,A,,A,,A,420,D,HHP,5,1,10,,A,20234
0,,C,1,D,,A,1,D,2,D,,A,1,D,1,1,,1,D,D,A,D,03,,D,C,1,,A,D,,C,,A,05286184,1,D,,A,,A,,A,258,F,HHP,5,1,7,,A,20234
0,,A,,A,1,D,3,D,2,D,,A,,A,1,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286194,,A,,A,,A,,A,,A,HHP,5,1,11,1,D,20234
0,,A,,A,,A,3,D,2,D,,A,,A,2,,1,2,A,D,D,D,,,A,A,1,,A,D,,A,,A,05286194,,A,,A,,A,,A,,A,HHP,5,1,12,3,D,20234
