QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FCECODE,FCECODE_,FCESAV,FCESAV_,FCEMO,FCEMO_,FCESCHPD,FCES_HPD,FCESMTX,FCESMTX_,FCENUM2,FCEPURCH,JFCENMQV,FCENUM2_,JFCE_MQV
20232,05212863,7,0,1,200,D,,A,13,D,,A,,A,,,2100,A,D
20232,05213403,4,0,1,310,D,,A,13,D,,A,,A,,,1800,A,D
20232,05213423,3,0,1,303,D,,A,04,D,,A,,A,,,25,A,D
20232,05213423,4,0,1,303,D,,A,03,D,,A,,A,,,20,A,D
20232,05213483,4,0,1,225,D,,A,13,D,,A,,A,,,3000,A,D
20232,05213703,5,0,1,200,D,,A,13,D,,A,,A,,,1500,A,D
20232,05213873,8,0,1,345,D,,A,13,D,,A,,A,,,240,A,D
20232,05213933,4,0,1,303,D,,A,13,D,,A,,A,,,3459,A,D
20232,05214103,5,0,1,225,D,,A,13,D,,A,,A,,,3525,A,D
20232,05214123,3,0,1,225,D,,A,13,D,,A,,A,,,1200,A,D
20232,05214433,5,0,1,301,D,,A,04,D,,A,,A,,,16000,A,D
20232,05214513,6,0,1,345,D,,A,13,D,,A,,A,,,360,A,D
20232,05214513,7,0,1,345,D,,A,02,D,,A,,A,,,160,A,D
20232,05215033,3,0,1,301,D,,A,13,D,,A,,A,,,180,A,D
20232,05215103,5,0,1,200,D,,A,13,D,,A,,A,,,2400,A,D
20232,05215183,16,0,1,310,D,,A,13,D,,A,,A,,,3600,A,D
20232,05215183,17,0,1,303,D,,A,04,D,,A,,A,,,500,A,D
20232,05215793,4,0,1,303,D,,A,13,D,,A,,A,,,5400,A,D
20232,05216353,7,0,1,365,D,,A,03,D,,A,,A,,1,46,A,D
20232,05216483,4,0,1,225,D,,A,13,D,,A,,A,,,750,A,D
20232,05216664,7,0,1,321,D,,A,,A,4,D,,A,1,,40,D,D
20232,05216693,5,0,1,321,D,,A,,A,4,D,,A,3,,300,D,D
20232,05216773,6,0,1,365,D,,A,02,D,,A,,A,,,300,A,D
20232,05216993,4,0,1,321,D,,A,,A,4,D,,A,3,,300,D,D
20232,05217003,6,0,1,321,D,,A,,A,4,D,,A,3,,3000,D,D
20232,05217003,7,0,1,345,D,,A,13,D,,A,,A,,,1800,A,D
20232,05217043,3,0,2,365,D,,A,02,D,,A,,A,,,40,A,D
20232,05217083,5,0,1,310,D,,A,04,D,,A,,A,,,300,A,D
20232,05217403,11,0,1,100,D,1,D,13,D,,A,,A,,,2700,A,D
20232,05217483,7,0,1,365,D,,A,04,D,,A,,A,,,20,A,D
20232,05217773,6,0,1,200,D,,A,13,D,,A,,A,,,1080,A,D
20232,05217773,7,0,1,302,D,,A,13,D,,A,,A,,,450,A,D
