QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_,CLDPURCH
20233,05295632,5,0,1,450,D,1,D,06,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05296522,2,0,1,380,D,1,D,05,D,68,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05296682,2,0,1,380,D,1,D,06,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05296772,5,0,1,380,D,1,D,06,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05296982,2,0,1,470,D,1,D,06,D,10,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05297022,9,0,1,380,D,1,D,05,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05297162,1,0,1,490,D,1,D,06,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05297162,2,0,1,450,D,1,D,06,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,2
20233,05297562,7,0,1,120,D,1,D,06,D,775,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05297562,8,0,1,370,D,1,D,06,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05343852,3,0,1,450,D,1,D,07,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05344242,2,0,1,380,D,1,D,07,D,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05344562,2,0,1,120,D,1,D,05,D,210,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05344562,3,0,1,120,D,1,D,07,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05344592,1,0,1,370,D,2,D,07,D,112,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05344902,6,0,1,380,D,1,D,05,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05345062,1,0,1,450,D,1,D,06,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05345192,3,0,1,120,D,1,D,05,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05345192,4,0,1,450,D,1,D,05,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20233,05345332,1,0,2,370,D,1,D,05,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
