QYEAR,NEWID,MEMBNO,SEQNO,ALCNO,REC_ORIG,PBTPD,PBTPD_,PBTDAYX,PBTDAYX_,JPBTAMTX,JPBT_MTX
20233,05210744,2,51,0,1,7,D,,A,14,D
20233,05210744,3,52,0,1,7,D,,A,6,D
20233,05210744,4,53,0,1,7,D,,A,6,D
20233,05211054,1,49,0,1,7,D,,A,13,D
20233,05211054,2,50,0,1,7,D,,A,13,D
20233,05211154,1,45,0,1,7,D,,A,5,D
20233,05211214,1,11,0,1,3,D,,A,30,D
20233,05211344,1,23,0,1,7,D,,A,22,D
20233,05213754,3,26,0,1,3,D,,A,381,D
20233,05214104,1,28,0,1,7,D,,A,10,D
20233,05214214,1,13,0,1,2,D,,A,260,D
20233,05214224,1,26,0,1,3,D,,A,120,D
20233,05214394,1,33,0,1,7,D,,A,30,D
20233,05214514,1,24,0,1,2,D,,A,260,D
20233,05214804,1,9,0,1,1,D,3,D,156,D
20233,05214914,1,14,0,1,3,D,,A,30,D
20233,05215364,1,13,0,1,3,D,,A,30,D
20233,05215754,1,47,0,1,7,D,,A,5,D
20233,05216274,1,15,0,1,4,D,,A,90,D
