QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20232,05093354,12,0,5,01,D,100,D,,A,3,D,,B,1989,D,,A,,A,,A,4600,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20232,05093364,25,0,5,01,D,100,D,,A,3,D,11,D,2021,D,,A,,A,,A,2500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093414,22,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,3000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093494,13,0,5,01,D,100,D,,A,3,D,,B,1978,D,,A,,A,,A,6400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093534,20,0,1,01,D,100,D,,A,3,D,,B,1999,D,,A,,A,,A,5000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093534,21,0,1,02,D,600,D,,A,,A,,B,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093664,24,0,5,01,D,100,D,,A,3,D,,B,1993,D,,A,,A,,A,3600,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093674,22,0,5,01,D,100,D,,A,1,D,,B,2006,D,,A,,A,,A,4100,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093694,17,0,5,01,D,100,D,,A,1,D,,B,2015,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093714,13,0,5,01,D,100,D,,A,3,D,,B,,C,,A,,A,,A,2700,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093804,21,0,5,01,D,100,D,,A,3,D,,B,2004,D,,A,,A,,A,2900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093824,6,0,1,01,D,100,D,,A,3,D,01,F,2012,D,,A,,A,,A,4900,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093834,22,0,5,01,D,100,D,,A,3,D,05,D,2021,D,,A,,A,,A,2100,D,,A,,A,,A,,A,1,D,1,D,,A,2,D,,A
20232,05093884,40,0,1,01,D,100,D,,A,3,D,,B,2017,D,,A,,A,,A,8900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20232,05093884,41,0,1,02,D,300,D,,A,1,D,,B,2006,D,,A,,A,,A,1600,F,1,D,1,D,1,D,1,D,,A,,A,,A,,A,1,D
20232,05093884,42,0,1,03,D,300,D,,A,1,D,,B,,C,,A,,A,,A,1800,F,1,D,1,D,1,D,1,D,,A,,A,,A,,A,,C
20232,05093904,31,0,5,01,D,100,D,,A,3,D,,B,2019,D,,A,,A,,A,7500,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
