QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20232,05093884,31,0,1,120,D,1,D,03,D,201,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093884,32,0,1,120,D,1,D,03,D,618,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093884,33,0,1,620,D,1,D,03,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,23,0,1,430,D,1,D,03,D,,H,420,D,410,D,330,D,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,23,1,1,420,D,1,D,03,D,298,G,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,23,2,1,410,D,1,D,03,D,497,G,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,23,3,1,330,D,1,D,03,D,1243,G,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,24,0,1,330,D,1,D,03,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,25,0,1,510,D,1,D,03,D,263,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,26,0,1,620,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093904,27,0,1,620,D,1,D,03,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093944,8,0,1,420,D,1,D,03,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093944,9,0,1,620,D,1,D,13,D,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093944,10,0,2,530,D,1,D,01,D,52,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05093964,17,0,1,200,D,1,D,02,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094044,18,0,1,110,D,1,D,02,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094044,19,0,1,200,D,1,D,03,D,960,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094044,20,0,1,620,D,1,D,02,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094064,19,0,1,510,D,1,D,02,D,152,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094104,27,0,1,110,D,1,D,02,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094104,28,0,1,120,D,1,D,01,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094104,29,0,1,200,D,1,D,03,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094104,30,0,1,420,D,1,D,02,D,640,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094104,31,0,1,620,D,1,D,13,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094134,17,0,1,420,D,1,D,02,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094134,18,0,1,420,D,1,D,03,D,44,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094134,19,0,1,620,D,1,D,01,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094134,20,0,1,620,D,1,D,02,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094134,21,0,1,620,D,1,D,03,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094134,22,0,2,420,D,1,D,01,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,14,0,1,200,D,1,D,03,D,157,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,15,0,1,610,D,1,D,01,D,78,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,16,0,1,620,D,1,D,01,D,418,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,17,0,1,620,D,1,D,03,D,427,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,18,0,1,620,D,1,D,13,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20232,05094144,19,0,1,620,D,1,D,02,D,127,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
