QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TELBSNZ,TELBSNZ_,TELRESD,TELRESD_,TELCELL,TELCELL_,TINTNET,TINTNET_,TCABLE,TCABLE_,BILPERD,BILPERD_,QADINE1X,QADI_E1X,QADINE2X,QADI_E2X,QADINE3X,QADI_E3X,QADCAB1X,QADC_B1X,QADCAB2X,QADC_B2X,QADCAB3X,QADC_B3X,TELRES1X,TELR_S1X,TELRES2X,TELR_S2X,TELRES3X,TELR_S3X,TELCEL1X,TELC_L1X,TELCEL2X,TELC_L2X,TELCEL3X,TELC_L3X,TELBLPRS,TELB_PRS,TPHONE,TPHONE_,TELPURCH
20232,05092284,22,0,1,,A,,A,,A,1,D,2,D,,A,11,D,11,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092324,18,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,142,D,142,D,142,D,,A,1,D,1
20232,05092324,19,0,1,,A,,A,,A,1,D,1,D,,A,45,E,46,E,45,E,79,E,78,E,79,E,,A,,A,,A,,A,,A,,A,2,D,2,D,1
20232,05092394,15,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,220,D,220,D,220,D,,A,1,D,
20232,05092394,16,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,80,D,80,D,80,D,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092404,62,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,300,D,300,D,300,D,,A,1,D,
20232,05092404,63,0,1,,A,,A,,A,1,D,2,D,,A,125,D,125,D,125,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,2,D,
20232,05092404,64,0,1,,A,,A,,A,2,D,1,D,,A,,A,,A,,A,110,D,110,D,110,D,,A,,A,,A,,A,,A,,A,,A,2,D,3
20232,05092424,28,0,1,,A,1,D,,A,1,D,2,D,,A,65,E,66,E,65,E,,A,,A,,A,55,E,54,E,55,E,,A,,A,,A,2,D,1,D,
20232,05092424,29,0,1,,A,,A,2,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,240,D,240,D,240,D,,A,1,D,
