consumer_unit_id,age_of_reference_person,education_level,region_code,income_range_code,total_annual_spending,spending_class
5121434,61,,South,1.0,130930.00000098,High
5121664,58,,West,5.0,260239.999999999,High
5121824,29,,South,1.0,109077.75000100001,Medium
5121934,38,,South,1.0,111500.999999989,Medium
5122194,57,,West,1.0,369273.2500000911,High
5122264,28,,Midwest,1.0,105255.99999991,Medium
5122294,26,,Northeast,3.0,232904.00000089,High
5122394,64,,South,1.0,10951.0,Low
5122434,75,,South,1.0,61608.999999,Medium
5122554,70,,South,3.0,226625.00000101,High
5122594,50,,South,1.0,15217.000000006,Low
5122674,44,,West,1.0,44749.999999912,Medium
5122744,43,,South,1.0,131506.99999999,High
5122774,56,,Northeast,1.0,22060.999999982,Low
5123154,29,,South,1.0,20459.0000000101,Low
5123164,43,,Northeast,1.0,121666.24999999,High
5123184,61,,Midwest,1.0,231136.250001079,High
5123294,49,,West,1.0,630711.249989928,High
5123504,72,,South,1.0,303077.249999,High
5123524,39,,Midwest,4.0,143922.99999900901,High
5123774,56,,Northeast,1.0,146426.000001011,High
5123854,58,,South,5.0,107997.749999,Medium
5124074,47,,South,1.0,119534.000000021,High
5124124,36,,Midwest,5.0,76580.750000971,Medium
5124204,25,,Northeast,1.0,15364.999999999,Low
5124484,34,,West,4.0,184931.7999999799,High
5124564,59,,South,1.0,90950.999999001,Medium
5124624,24,,South,1.0,13528.000000009,Low
5124794,49,,West,1.0,227121.999998993,High
5124934,55,,Midwest,1.0,97004.999999983,Medium
5124954,40,,West,1.0,43333.9999998,Medium
5125034,64,,South,1.0,131792.500000011,High
5125114,34,,South,1.0,68805.00000101101,Medium
5125214,49,,Northeast,3.0,93131.9999999999,Medium
5125224,52,,West,1.0,206093.00000101,High
5125324,44,,South,1.0,95315.499999989,Medium
5201613,50,,South,3.0,10742.999999998,Low
5201663,71,,South,1.0,140818.999999869,High
5201693,33,,South,1.0,245129.999999101,High
5201743,40,,West,1.0,16952.0000000071,Low
5201773,24,,South,1.0,76263.99999899999,Medium
5201873,40,,South,1.0,146680.999999983,High
